,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
20950,182.0,0.5470085470085451,0.13279366191158448,0.22229319676810885,0.3260677019056051,0.024,0.104,0.133,0.004,3.0,0.6943570842057607,-1.7531113609697069,0.3187126331677482,0.19993694383794014
9070,79.0,0.7948717948717956,0.04237014155306228,0.023621139334180533,0.023534456727303386,0.004,0.003,0.008,0.0,1.0,0.5698069155782338,0.952327589635836,0.01376071543500957,0.5430984222964947
9719,85.0,0.4700854700854684,0.06388003749458492,0.022569697680640228,0.01417169714051861,0.001,0.004,0.005,0.0,1.0,0.6383514529486222,2.4301862909153287,0.012179507544053435,0.14618685079371638
838,7.0,0.7094017094017069,0.0022948546822403517,0.001832718125303382,0.0007837260670626186,0.0,0.0,0.0,0.0,1.0,0.7115642294506368,0.7797025362016357,0.00046770941289425505,0.40165739334233175
9435,83.0,0.059829059829059617,0.024967480664415856,0.007523020454460287,0.0022782595128172578,0.0,0.001,0.001,0.0,2.0,0.7441809233132849,0.22120821302563975,0.00035613830737333803,0.011131826922083752
19191,167.0,0.27350427350427253,0.003356107282884714,0.0005621165123759749,0.000358999679457437,0.0,0.0,0.0,0.0,1.0,0.41842414229700886,2.111534548061716,0.0001763605087010397,0.06855598829958474
19459,169.0,0.7264957264957239,0.016002360000885698,0.001034101062335199,0.00023353958001432604,0.001,0.002,0.003,0.0,0.0,-0.11387771238037202,0.624615706499439,0.0002073759584632236,0.4277388817567016
1886,16.0,0.5897435897435876,0.00680022724689622,0.008731433596202536,0.012335444745564222,0.001,0.003,0.004,0.0,2.0,0.8838396358397974,0.08144953327556093,0.013377265054332918,0.23999689996971274
1738,15.0,0.33333333333333215,0.0050801367402601005,0.0043807245443524155,0.0011273428999322855,0.0,0.001,0.001,0.0,2.0,0.932443208802168,0.48340621308199366,0.0003919831070180995,0.08731374179053404
8649,76.0,0.22222222222222143,7.236111322978916e-05,6.62705549762115e-05,2.1975495125385683e-06,0.0,0.0,0.0,0.0,2.0,1.134187939360563,-0.3160075917261216,1.5590401251364343e-06,0.053260608790771616
9166,80.0,0.6239316239316217,0.007707877077596111,0.003537662057805038,0.003057890146697418,0.002,0.0,0.002,0.0,1.0,0.5776268266398801,0.7709988043694133,0.0011539101629216878,0.28109213160734775
18634,162.0,0.5555555555555536,0.006885802103965117,0.0009637797443649411,0.0002220523893806017,0.0,0.0,0.001,0.0,0.0,0.25454657435404887,0.5147284730329248,0.00011306190483249526,0.2072467259595217
17059,148.0,0.8034188034188041,0.005966982103869064,0.0009319309255527184,0.0003832726127095676,0.0,0.0,0.001,0.0,0.0,0.25263746864103515,-0.2522517596029907,0.00020679328690130394,0.5580292283810039
12207,106.0,0.7094017094017069,0.00024177570361259013,0.00019120647943952454,9.958894836367967e-05,0.0,0.0,0.0,0.0,2.0,0.6263742217139322,0.25215977900608133,8.405168513025114e-05,0.40165739334233175
7534,66.0,0.3675213675213662,0.003151097483112089,0.0005360939080360999,6.372893586361849e-05,0.0,0.0,0.0,0.0,0.0,0.14015043460865223,-0.01885002890576605,7.200455689056052e-05,0.1005562515222768
16122,140.0,0.7264957264957239,0.10132389751053825,0.10216633184459095,0.23455255045099213,0.018,0.047,0.067,0.002,2.0,1.1289891532975862,1.7059774198146975,0.14172042975418736,0.4277388817567016
2393,20.0,0.9401709401709404,0.007247779977050092,0.0029073770069622247,0.0014702605125025085,0.001,0.003,0.004,0.0,5.0,-0.2976985346033282,-1.1343109239863047,0.0008964087022533202,0.8415734639539847
19226,167.0,0.5726495726495706,0.00986752186896055,0.002524491541396121,0.002194552854112379,0.0,0.0,0.001,0.0,1.0,0.41842414229700886,2.111534548061716,0.0009327364368863393,0.22279779199476488
17117,149.0,0.29059829059828957,0.0030734919991050502,0.0007027130611165267,0.0003510085903209331,0.0,0.0,0.0,0.0,2.0,0.7706224171349036,0.35869029402606345,0.00017598255957979449,0.07320696867083536
12957,113.0,0.3162393162393151,0.00030551225197438523,3.9163506731298636e-05,1.3684740146262904e-05,0.0,0.0,0.0,0.0,2.0,0.7502626836621503,0.34065509477087125,6.973686216308934e-06,0.08153510341153268
10637,93.0,0.29059829059828957,0.0013426567722975332,0.0017201383408344082,0.0001880902605504602,0.0,0.0,0.0,0.0,2.0,0.9920564810017393,0.4320346927882879,6.04141171723745e-05,0.07320696867083536
